Rank;Country;Region;Documents;Citable documents;Citations;Self-citations;Citations per document;H index
156;Sierra Leone;Africa;1864;1646;38851;3240;20,84;73
157;Greenland;Western Europe;1832;1716;52235;4982;28,51;87
158;French Guiana;Latin America;1698;1551;44793;2638;26,38;92
159;Angola;Africa;1648;1525;23791;1738;14,44;56
160;Bhutan;Asiatic Region;1599;1418;27500;1874;17,2;61
161;Haïti;Latin America;1592;1409;31961;2823;20,08;76
162;North Korea;Asiatic Region;1555;1530;11336;1314;7,29;43
163;Guinea;Africa;1484;1363;31348;1769;21,12;78
164;Guam;Pacific Region;1191;1077;24195;995;20,31;75
165;Faroe Islands;Western Europe;1138;1033;26401;2136;23,2;72
166;Bermuda;Latin America;1049;949;48026;2405;45,78;105
167;Saint Kitts and Nevis;Latin America;1045;858;11165;634;10,68;46
168;Martinique;Latin America;1034;925;31953;411;30,9;59
169;Lesotho;Africa;1025;942;11699;565;11,41;46
170;Burundi;Africa;1007;933;19818;640;19,68;55
171;Central African Republic;Africa;985;915;17742;920;18,01;60
172;Reunion;Africa;968;890;17352;257;17,93;62
173;Mauritania;Africa;964;907;12110;858;12,56;50
174;Seychelles;Africa;941;870;35591;1659;37,82;74
175;Bahamas;Latin America;941;844;15156;1181;16,11;61
176;Guyana;Latin America;918;818;13249;455;14,43;56
177;Liberia;Africa;917;773;27821;1077;30,34;63
178;Eritrea;Africa;862;802;13450;725;15,6;53
179;Guinea-Bissau;Africa;846;768;20889;4114;24,69;68
180;Chad;Africa;799;754;14171;993;17,74;49
181;Solomon Islands;Pacific Region;694;646;15174;943;21,86;51
182;Suriname;Latin America;692;627;13817;660;19,97;49
183;Belize;Latin America;660;574;29164;471;44,19;58
184;Vanuatu;Pacific Region;607;564;9294;872;15,31;45
185;Samoa;Pacific Region;596;543;8596;505;14,42;42
186;Maldives;Asiatic Region;554;509;7182;595;12,96;40
187;Cape Verde;Africa;533;510;6374;498;11,96;38
188;Falkland Islands (Malvinas);Latin America;532;496;10619;1191;19,96;48
189;Somalia;Africa;531;468;5188;218;9,77;28
190;San Marino;Western Europe;492;437;30901;384;62,81;49
191;Dominica;Latin America;481;426;7546;191;15,69;44
192;Netherlands Antilles;Latin America;444;401;19022;218;42,84;60
193;Turkmenistan;Asiatic Region;425;406;5136;526;12,08;32
194;Cayman Islands;Latin America;404;366;5930;167;14,68;39
195;Djibouti;Africa;394;377;3985;315;10,11;31
196;Timor-Leste;Asiatic Region;392;346;3770;305;9,62;30
197;Federated States of Micronesia;Pacific Region;376;322;44616;460;118,66;57
198;Andorra;Western Europe;344;310;6079;169;17,67;36
199;Palau;Pacific Region;312;294;6096;448;19,54;44
200;Equatorial Guinea;Africa;287;270;7246;445;25,25;33
201;Virgin Islands (U,S,);Latin America;279;265;7833;110;28,08;39
202;Tonga;Pacific Region;263;246;9879;199;37,56;34
203;Antigua and Barbuda;Latin America;258;234;2209;58;8,56;25
204;Republic of South Sudan;Africa;244;220;1370;75;5,61;20
205;American Samoa;Pacific Region;239;224;4937;181;20,66;31
206;Gibraltar;Western Europe;237;199;5981;242;25,24;37
207;Aruba;Latin America;234;170;2659;33;11,36;22
208;Comoros;Africa;218;201;2860;178;13,12;24
209;Saint Lucia;Latin America;202;168;7961;36;39,41;30
210;Saint Vincent and the Grenadines;Latin America;202;183;2254;20;11,16;24
211;Virgin Islands (British);Latin America;176;155;5136;79;29,18;33
212;Marshall Islands;Pacific Region;152;131;2463;59;16,2;27
213;Montserrat;Latin America;138;133;4331;312;31,38;34
214;Anguilla;Latin America;131;100;26376;146;201,34;34
215;Northern Mariana Islands;Asiatic Region;120;112;1638;52;13,65;22
216;Cook Islands;Pacific Region;118;109;3007;114;25,48;28
217;Mayotte;Africa;118;113;965;36;8,18;14
218;Kiribati;Pacific Region;108;100;1097;34;10,16;17
219;Sao Tome and Principe;Africa;106;100;1657;105;15,63;23
220;Turks and Caicos Islands;Latin America;89;84;1493;60;16,78;22
221;Curaçao;Latin America;84;72;232;11;2,76;8
222;Vatican City State;Western Europe;79;47;736;13;9,32;16
223;Svalbard and Jan Mayen;Western Europe;62;57;758;3;12,23;14
224;Saint Helena;Africa;60;57;591;14;9,85;13
225;Tuvalu;Pacific Region;44;39;948;8;21,55;13
226;Nauru;Pacific Region;34;30;456;9;13,41;11
227;British Indian Ocean Territory;Africa;34;30;523;0;15,38;11
228;Niue;Pacific Region;27;23;697;3;25,81;9
229;United States Minor Outlying Islands;Northern America;24;22;906;0;37,75;12
230;Norfolk Island;Pacific Region;24;19;258;0;10,75;10
231;Wallis and Futuna;Pacific Region;22;19;143;5;6,5;7
232;South Georgia and the South Sandwich Islands;Latin America;22;19;94;0;4,27;5
233;Cocos (Keeling) Islands;Pacific Region;14;14;247;0;17,64;6
234;Tokelau;Pacific Region;10;9;607;1;60,7;4
235;Western Sahara;Africa;10;7;67;0;6,7;5
236;Sint Maarten;Latin America;9;8;4;0;0,44;1
237;Christmas Island;Pacific Region;7;7;73;0;10,43;4
238;Saint Pierre and Miquelon;Northern America;7;6;20;0;2,86;3
239;Bouvet Island;Western Europe;7;6;46;0;6,57;3
240;French Southern Territories;Pacific Region;6;6;172;0;28,67;5
241;Pitcairn;Pacific Region;3;1;20;0;6,67;2
242;Heard Island and McDonald Islands;Pacific Region;2;2;12;0;6;1
